['contig-0092817', 5843295]
['contig-0117454', 220444]
['contig-0029696', 220439]
['contig-0086377', 220428]
['contig-0045385', 220426]
['contig-0106824', 220406]
['contig-0026339', 220322]
['contig-0037646', 220240]
['contig-0041282', 220236]
['contig-0044645', 220207]
['contig-0109223', 220190]
['contig-0111951', 220098]
['contig-0084018', 220097]
['contig-0079893', 220073]
['contig-0081290', 220065]
['contig-0056576', 220047]
['contig-0119990', 220040]
['contig-0081001', 220027]
['contig-0058800', 220026]
['contig-0055682', 220013]
['contig-0025109', 219940]
['contig-0082490', 219935]
['contig-0120495', 219917]
['contig-0058883', 219915]
['contig-0046519', 219878]
['contig-0050922', 219835]
['contig-0045552', 219773]
['contig-0059903', 219759]
['contig-0089217', 219725]
['contig-0110038', 219719]
['contig-0020411', 219693]
['contig-0031633', 219691]
['contig-0027226', 219659]
['contig-0096029', 219637]
['contig-0049125', 219635]
['contig-0002821', 219554]
['contig-0004003', 219489]
['contig-0106039', 219478]
['contig-0062354', 219455]
['contig-0108119', 219431]
['contig-0086828', 219391]
['contig-0095574', 219378]
['contig-0111045', 219376]
['contig-0038494', 219371]
['contig-0033535', 219340]
['contig-0033180', 219329]
['contig-0097953', 219264]
['contig-0017512', 219203]
['contig-0089502', 219172]
['contig-0006228', 219170]
['contig-0044498', 219130]
['contig-0110824', 219077]
['contig-0036459', 219033]
['contig-0066957', 219026]
['contig-0085413', 219010]
['contig-0003891', 218973]
['contig-0113377', 218971]
['contig-0034261', 218964]
['contig-0030586', 218950]
['contig-0005580', 218868]
['contig-0049502', 218834]
['contig-0105668', 218827]
['contig-0091210', 218804]
['contig-0091518', 218800]
['contig-0088209', 218717]
['contig-0002427', 218684]
['contig-0111385', 218665]
['contig-0071727', 218634]
['contig-0025367', 218626]
['contig-0021655', 218590]
['contig-0063656', 218587]
['contig-0093771', 218584]
['contig-0030515', 218516]
['contig-0128465', 218515]
['contig-0011757', 218478]
['contig-0028961', 218382]
['contig-0005257', 218369]
['contig-0023172', 218364]
['contig-0118228', 218320]
['contig-0017275', 218318]
['contig-0028718', 218296]
['contig-0003398', 218279]
['contig-0066765', 218272]
['contig-0015992', 218216]
['contig-0035793', 218183]
['contig-0107063', 218173]
['contig-0055423', 218101]
['contig-0080674', 218067]
['contig-0118636', 218019]
['contig-0005669', 218017]
['contig-0099203', 218015]
['contig-0001581', 218014]
['contig-0082011', 217988]
['contig-0040813', 217979]
['contig-0030925', 217956]
['contig-0046267', 217955]
['contig-0010123', 217866]
['contig-0013573', 217855]
['contig-0048941', 217843]
['contig-0011022', 217815]
['contig-0083899', 217807]
['contig-0068299', 217804]
['contig-0034236', 217775]
['contig-0061107', 217775]
['contig-0096412', 217766]
['contig-0116087', 217726]
['contig-0031375', 217709]
['contig-0054594', 217611]
['contig-0018976', 217550]
['contig-0002188', 217540]
['contig-0067109', 217526]
['contig-0003494', 217484]
['contig-0042445', 217475]
['contig-0061660', 217469]
['contig-0090320', 217460]
['contig-0116101', 217448]
['contig-0102965', 217439]
['contig-0081196', 217407]
['contig-0110002', 217386]
['contig-0096436', 217356]
['contig-0079366', 217337]
['contig-0075249', 217331]
['contig-0109689', 217322]
['contig-0068076', 217303]
['contig-0117658', 217296]
['contig-0032056', 217282]
['contig-0001299', 217261]
['contig-0053917', 217259]
['contig-0021988', 217223]
['contig-0023670', 217209]
['contig-0096033', 217164]
['contig-0125891', 217100]
['contig-0018998', 217069]
['contig-0069078', 217054]
['contig-0075108', 217034]
['contig-0118123', 217018]
['contig-0091564', 217000]
['contig-0103717', 216999]
['contig-0016288', 216958]
['contig-0046128', 216949]
['contig-0072794', 216898]
['contig-0005853', 216873]
['contig-0057308', 216852]
['contig-0012027', 216846]
['contig-0073209', 216839]
['contig-0118885', 216752]
['contig-0036884', 216743]
['contig-0033787', 216697]
['contig-0083400', 216666]
['contig-0035962', 216664]
['contig-0074746', 216641]
['contig-0033346', 216632]
['contig-0102271', 216621]
['contig-0057309', 216617]
['contig-0024724', 216602]
['contig-0060002', 216599]
['contig-0067090', 216591]
['contig-0011035', 216590]
['contig-0014341', 216587]
['contig-0045727', 216582]
['contig-0106748', 216535]
['contig-0084022', 216530]
['contig-0055781', 216492]
['contig-0079231', 216446]
['contig-0059042', 216439]
['contig-0073478', 216413]
['contig-0099997', 216407]
['contig-0046472', 216401]
['contig-0096082', 216397]
['contig-0037407', 216383]
['contig-0056505', 216351]
['contig-0023031', 216319]
['contig-0015516', 216285]
['contig-0032646', 216275]
['contig-0018205', 216262]
['contig-0108466', 216245]
['contig-0076879', 216144]
['contig-0021193', 216081]
['contig-0003845', 216076]
['contig-0106852', 216056]
['contig-0008256', 216039]
['contig-0006747', 216014]
['contig-0119979', 215986]
['contig-0045045', 215973]
['contig-0011788', 215968]
['contig-0053604', 215917]
['contig-0025380', 215909]
['contig-0034583', 215906]
['contig-0005339', 215895]
['contig-0041229', 215840]
['contig-0038268', 215827]
['contig-0022753', 215812]
['contig-0067527', 215772]
['contig-0098449', 215749]
['contig-0027773', 215715]
['contig-0015588', 215704]
['contig-0073449', 215703]
['contig-0062288', 215697]
['contig-0099586', 215678]
['contig-0117171', 215661]
['contig-0056860', 215644]
['contig-0095670', 215636]
['contig-0109379', 215620]
['contig-0084614', 215607]
['contig-0047905', 215591]
['contig-0118801', 215555]
['contig-0118531', 215553]
['contig-0004827', 215539]
['contig-0036091', 215529]
['contig-0016508', 215470]
['contig-0093095', 215451]
['contig-0098355', 215402]
['contig-0022314', 215375]
['contig-0097512', 215375]
['contig-0063872', 215353]
['contig-0076271', 215353]
['contig-0113188', 215297]
['contig-0034669', 215293]
['contig-0014625', 215284]
['contig-0036414', 215246]
['contig-0000912', 215229]
['contig-0121074', 215093]
['contig-0047545', 215077]
['contig-0118921', 215069]
['contig-0067175', 215009]
['contig-0062011', 214989]
['contig-0000321', 214960]
['contig-0031462', 214960]
['contig-0100098', 214889]
['contig-0075148', 214886]
['contig-0070109', 214864]
['contig-0038034', 214850]
['contig-0105009', 214817]
['contig-0054420', 214800]
['contig-0048476', 214799]
['contig-0107682', 214778]
['contig-0058270', 214767]
['contig-0034384', 214757]
['contig-0077225', 214747]
['contig-0063259', 214745]
['contig-0026369', 214707]
['contig-0004780', 214677]
['contig-0036280', 214660]
['contig-0067394', 214651]
['contig-0076565', 214645]
['contig-0062348', 214644]
['contig-0038981', 214633]
['contig-0099282', 214628]
['contig-0101735', 214610]
['contig-0013798', 214605]
['contig-0096213', 214601]
['contig-0033447', 214584]
['contig-0053581', 214560]
['contig-0060640', 214558]
['contig-0007729', 214526]
['contig-0065136', 214522]
['contig-0093344', 214510]
['contig-0105559', 214508]
['contig-0032486', 214504]
['contig-0099977', 214463]
['contig-0045703', 214462]
['contig-0036959', 214421]
['contig-0049340', 214403]
['contig-0039711', 214378]
['contig-0123646', 214362]
['contig-0000100', 214344]
['contig-0067796', 214307]
['contig-0076445', 214295]
['contig-0113671', 214265]
['contig-0093544', 214215]
['contig-0121177', 214173]
['contig-0111232', 214172]
['contig-0101894', 214161]
['contig-0078853', 214131]
['contig-0010731', 214110]
['contig-0020138', 214098]
['contig-0016027', 214096]
['contig-0028333', 214085]
['contig-0072169', 214068]
['contig-0048567', 214056]
['contig-0049964', 214002]
['contig-0010109', 213981]
['contig-0065883', 213925]
['contig-0066370', 213898]
['contig-0015746', 213813]
['contig-0006655', 213779]
['contig-0086785', 213779]
['contig-0064911', 213778]
['contig-0099319', 213730]
['contig-0116235', 213679]
['contig-0111120', 213668]
['contig-0100396', 213659]
['contig-0117115', 213642]
['contig-0091544', 213618]
['contig-0033910', 213610]
['contig-0092726', 213578]
['contig-0065793', 213543]
['contig-0094074', 213540]
['contig-0115425', 213532]
['contig-0042502', 213513]
['contig-0017091', 213474]
['contig-0082909', 213460]
['contig-0053964', 213417]
['contig-0049687', 213412]
['contig-0078197', 213391]
['contig-0109045', 213370]
['contig-0006680', 213319]
['contig-0003397', 213312]
['contig-0100891', 213307]
['contig-0059222', 213301]
['contig-0079828', 213290]
['contig-0019461', 213288]
['contig-0035982', 213272]
['contig-0026778', 213268]
['contig-0091479', 213252]
['contig-0056902', 213239]
['contig-0009307', 213223]
['contig-0070250', 213203]
['contig-0022033', 213200]
['contig-0040159', 213199]
['contig-0010621', 213107]
['contig-0072393', 213079]
['contig-0104479', 213068]
['contig-0035227', 213045]
['contig-0056084', 213032]
['contig-0103443', 213017]
['contig-0115999', 213009]
['contig-0125810', 212982]
['contig-0020132', 212933]
['contig-0023410', 212929]
['contig-0095704', 212912]
['contig-0045010', 212896]
['contig-0043474', 212873]
['contig-0053073', 212870]
['contig-0082908', 212866]
['contig-0080503', 212847]
['contig-0043889', 212846]
['contig-0059430', 212831]
['contig-0038263', 212812]
['contig-0117908', 212808]
['contig-0084039', 212660]
['contig-0040380', 212656]
['contig-0043820', 212636]
['contig-0103341', 212626]
['contig-0084649', 212597]
['contig-0103523', 212565]
['contig-0101146', 212528]
['contig-0084615', 212505]
['contig-0082738', 212499]
['contig-0061072', 212496]
['contig-0020377', 212485]
['contig-0075075', 212471]
['contig-0032263', 212444]
['contig-0095294', 212414]
['contig-0031494', 212394]
['contig-0042634', 212388]
['contig-0021376', 212372]
['contig-0091777', 212330]
['contig-0118234', 212329]
['contig-0067580', 212301]
['contig-0009476', 212279]
['contig-0068015', 212268]
['contig-0006161', 212261]
['contig-0061559', 212236]
['contig-0113606', 212197]
['contig-0063871', 212156]
['contig-0034415', 212140]
['contig-0025978', 212106]
['contig-0085670', 212102]
['contig-0059504', 212078]
['contig-0116711', 212068]
['contig-0096762', 212031]
['contig-0110722', 212012]
['contig-0077295', 212010]
['contig-0125257', 211986]
['contig-0021802', 211971]
['contig-0032037', 211935]
['contig-0111646', 211897]
['contig-0036009', 211878]
['contig-0103511', 211853]
['contig-0101332', 211836]
['contig-0077660', 211833]
['contig-0074675', 211826]
['contig-0108858', 211819]
['contig-0067438', 211791]
['contig-0095150', 211779]
['contig-0013129', 211754]
['contig-0092206', 211734]
['contig-0108026', 211702]
['contig-0047010', 211688]
['contig-0108208', 211688]
['contig-0001062', 211600]
['contig-0118700', 211577]
['contig-0009249', 211564]
['contig-0034935', 211564]
['contig-0063598', 211559]
['contig-0104907', 211550]
['contig-0112157', 211545]
['contig-0099239', 211531]
['contig-0042629', 211528]
['contig-0047249', 211513]
['contig-0004657', 211499]
['contig-0098213', 211484]
['contig-0007336', 211474]
['contig-0027304', 211471]
['contig-0012982', 211462]
['contig-0108492', 211456]
['contig-0015224', 211438]
['contig-0032726', 211433]
['contig-0042318', 211425]
['contig-0111450', 211386]
['contig-0001800', 211321]
['contig-0040418', 211310]
['contig-0021185', 211295]
['contig-0008036', 211260]
['contig-0026200', 211254]
['contig-0119722', 211252]
['contig-0016043', 211229]
['contig-0017648', 211229]
['contig-0066313', 211219]
['contig-0061482', 211180]
['contig-0015830', 211159]
['contig-0007071', 211143]
['contig-0037885', 211138]
['contig-0108804', 211087]
['contig-0087552', 211074]
['contig-0099228', 211056]
['contig-0105807', 211025]
['contig-0059986', 211022]
['contig-0067789', 210848]
['contig-0089900', 210831]
['contig-0042719', 210827]
['contig-0071224', 210813]
['contig-0110423', 210802]
['contig-0038273', 210740]
['contig-0035839', 210736]
['contig-0012891', 210723]
['contig-0054902', 210711]
['contig-0046841', 210695]
['contig-0017759', 210678]
['contig-0105071', 210614]
['contig-0044793', 210610]
['contig-0007984', 210609]
['contig-0064343', 210597]
['contig-0005307', 210590]
['contig-0018870', 210555]
['contig-0002952', 210535]
['contig-0026397', 210526]
['contig-0007756', 210518]
['contig-0113101', 210493]
['contig-0033179', 210448]
['contig-0040135', 210447]
['contig-0062503', 210421]
['contig-0092580', 210421]
['contig-0017882', 210416]
['contig-0012240', 210400]
['contig-0032073', 210399]
['contig-0043344', 210370]
['contig-0117304', 210280]
['contig-0010620', 210214]
['contig-0051911', 210184]
['contig-0016070', 210171]
['contig-0036179', 210166]
['contig-0044828', 210156]
['contig-0126924', 210140]
['contig-0127570', 210101]
['contig-0037133', 210030]
['contig-0087643', 210029]
['contig-0076411', 209977]
['contig-0004133', 209963]
['contig-0031611', 209956]
['contig-0053038', 209911]
['contig-0046958', 209898]
['contig-0043907', 209879]
['contig-0116844', 209874]
['contig-0069170', 209819]
['contig-0080337', 209789]
['contig-0061892', 209776]
['contig-0088651', 209761]
['contig-0110716', 209754]
['contig-0020549', 209749]
['contig-0105724', 209733]
['contig-0070223', 209727]
['contig-0045903', 209679]
['contig-0112955', 209663]
['contig-0118088', 209643]
['contig-0031557', 209632]
['contig-0067364', 209612]
['contig-0063439', 209603]
['contig-0115264', 209592]
['contig-0048137', 209591]
['contig-0125190', 209583]
['contig-0060444', 209553]
['contig-0092056', 209542]
['contig-0117590', 209533]
['contig-0066972', 209510]
['contig-0082932', 209451]
['contig-0047251', 209410]
['contig-0042881', 209374]
['contig-0091072', 209371]
['contig-0037244', 209340]
['contig-0021716', 209298]
['contig-0116745', 209298]
['contig-0023778', 209296]
['contig-0079176', 209279]
['contig-0058973', 209256]
['contig-0026344', 209245]
['contig-0081256', 209205]
['contig-0006653', 209188]
['contig-0001962', 209147]
['contig-0057604', 209144]
['contig-0033311', 209117]
['contig-0084523', 209115]
['contig-0016491', 209109]
['contig-0094500', 209104]
['contig-0071009', 209080]
['contig-0033004', 209047]
['contig-0061002', 208992]
['contig-0111422', 208992]
['contig-0024448', 208991]
['contig-0042784', 208989]
['contig-0013623', 208957]
['contig-0051145', 208932]
['contig-0001303', 208918]
['contig-0066882', 208901]
['contig-0047586', 208851]
['contig-0009412', 208836]
['contig-0086129', 208817]
['contig-0058884', 208804]
['contig-0094366', 208771]
['contig-0047168', 208744]
['contig-0039132', 208734]
['contig-0013074', 208726]
['contig-0108109', 208726]
['contig-0062828', 208689]
['contig-0007691', 208640]
['contig-0022696', 208633]
['contig-0102553', 208622]
['contig-0116727', 208597]
['contig-0020710', 208596]
['contig-0046034', 208576]
['contig-0001905', 208558]
['contig-0096832', 208549]
['contig-0041132', 208526]
['contig-0083727', 208495]
['contig-0058819', 208480]
['contig-0110930', 208476]
['contig-0033448', 208450]
['contig-0048457', 208447]
['contig-0020341', 208443]
['contig-0023938', 208442]
['contig-0060447', 208431]
['contig-0083020', 208401]
['contig-0096129', 208380]
['contig-0065942', 208346]
['contig-0020684', 208335]
['contig-0046825', 208287]
['contig-0043282', 208277]
['contig-0117537', 208269]
['contig-0082141', 208266]
['contig-0042527', 208258]
['contig-0020078', 208254]
['contig-0030475', 208187]
['contig-0068877', 208153]
['contig-0102094', 208129]
['contig-0074648', 208124]
['contig-0120603', 208115]
['contig-0024799', 208086]
['contig-0105990', 208053]
['contig-0111797', 208033]
['contig-0016129', 208022]
['contig-0082007', 208009]
['contig-0038059', 208003]
['contig-0117997', 207938]
['contig-0111342', 207937]
['contig-0012631', 207894]
['contig-0056355', 207885]
['contig-0084828', 207822]
['contig-0110485', 207822]
['contig-0057424', 207802]
['contig-0078289', 207786]
['contig-0062311', 207734]
['contig-0058018', 207720]
['contig-0058988', 207643]
['contig-0055988', 207607]
['contig-0077874', 207589]
['contig-0040019', 207540]
['contig-0022423', 207536]
['contig-0009965', 207513]
['contig-0026319', 207436]
['contig-0100966', 207395]
['contig-0100444', 207393]
['contig-0044241', 207314]
['contig-0117008', 207292]
['contig-0005622', 207275]
['contig-0055287', 207231]
['contig-0092332', 207222]
['contig-0063930', 207207]
['contig-0010362', 207169]
['contig-0030999', 207148]
['contig-0098468', 207148]
['contig-0121030', 207140]
['contig-0031446', 207127]
['contig-0056553', 207125]
['contig-0107815', 207091]
['contig-0024217', 207087]
['contig-0111136', 207074]
['contig-0030780', 207056]
['contig-0085208', 207042]
['contig-0054464', 207038]
['contig-0092144', 207025]
['contig-0007132', 207024]
['contig-0100212', 207011]
['contig-0113158', 207004]
['contig-0040500', 206984]
['contig-0123966', 206979]
['contig-0049343', 206962]
['contig-0048871', 206932]
['contig-0031388', 206915]
['contig-0062060', 206900]
['contig-0088682', 206891]
['contig-0079389', 206877]
['contig-0044165', 206869]
['contig-0054643', 206849]
['contig-0109711', 206801]
['contig-0032010', 206793]
['contig-0004159', 206775]
['contig-0114606', 206754]
['contig-0097912', 206753]
['contig-0025160', 206721]
['contig-0047246', 206721]
['contig-0086715', 206668]
['contig-0059535', 206640]
['contig-0073688', 206623]
['contig-0052546', 206617]
['contig-0073687', 206565]
['contig-0049501', 206547]
['contig-0076575', 206506]
['contig-0003528', 206484]
['contig-0018074', 206458]
['contig-0024287', 206451]
['contig-0013840', 206439]
['contig-0048534', 206428]
['contig-0106077', 206422]
['contig-0062049', 206390]
['contig-0063052', 206268]
['contig-0047830', 206256]
['contig-0004955', 206242]
['contig-0101472', 206204]
['contig-0068320', 206110]
['contig-0040599', 206073]
['contig-0122101', 206049]
['contig-0020761', 206039]
['contig-0059531', 206033]
['contig-0074473', 206033]
['contig-0064497', 206017]
['contig-0088513', 205979]
['contig-0111431', 205973]
['contig-0066864', 205923]
['contig-0110263', 205917]
['contig-0098746', 205895]
['contig-0111583', 205875]
['contig-0088139', 205865]
['contig-0085961', 205861]
['contig-0059047', 205831]
['contig-0118544', 205786]
['contig-0020445', 205759]
['contig-0063804', 205758]
['contig-0081208', 205751]
['contig-0114155', 205583]
['contig-0102967', 205570]
['contig-0021109', 205548]
['contig-0126461', 205519]
['contig-0028464', 205518]
['contig-0111135', 205490]
['contig-0053893', 205463]
['contig-0109973', 205403]
['contig-0030868', 205373]
['contig-0125569', 205369]
['contig-0093315', 205364]
['contig-0061655', 205350]
['contig-0063955', 205321]
['contig-0062073', 205284]
['contig-0095978', 205260]
['contig-0012576', 205230]
['contig-0062586', 205223]
['contig-0000212', 205207]
['contig-0096911', 205193]
['contig-0081879', 205175]
['contig-0073417', 205166]
['contig-0047396', 205145]
['contig-0069695', 205110]
['contig-0108453', 205089]
['contig-0002662', 205087]
['contig-0058378', 205084]
['contig-0035143', 205080]
['contig-0080235', 205071]
['contig-0032669', 205045]
['contig-0048572', 205018]
['contig-0036484', 205010]
['contig-0055308', 204994]
['contig-0103919', 204951]
['contig-0039137', 204921]
['contig-0061481', 204908]
['contig-0056153', 204896]
['contig-0067182', 204888]
['contig-0063390', 204885]
['contig-0040653', 204836]
['contig-0049913', 204813]
['contig-0000977', 204771]
['contig-0125346', 204743]
['contig-0114379', 204738]
['contig-0015759', 204727]
['contig-0047883', 204719]
['contig-0060884', 204708]
['contig-0062871', 204690]
['contig-0087605', 204682]
['contig-0106115', 204656]
['contig-0030693', 204650]
['contig-0065167', 204633]
['contig-0061632', 204622]
['contig-0122647', 204607]
['contig-0080427', 204573]
['contig-0055630', 204568]
['contig-0095354', 204540]
['contig-0103815', 204530]
['contig-0106533', 204528]
['contig-0026119', 204503]
['contig-0118822', 204491]
['contig-0111600', 204460]
['contig-0003800', 204445]
['contig-0067095', 204426]
['contig-0054951', 204425]
['contig-0119360', 204411]
['contig-0108137', 204381]
['contig-0093906', 204376]
['contig-0116891', 204355]
['contig-0006777', 204349]
['contig-0084191', 204346]
['contig-0011859', 204341]
['contig-0022830', 204275]
['contig-0023941', 204272]
['contig-0081987', 204265]
['contig-0079554', 204221]
['contig-0115098', 204181]
['contig-0015513', 204169]
['contig-0042987', 204151]
['contig-0030607', 204115]
['contig-0035168', 204102]
['contig-0027699', 204084]
['contig-0103816', 204083]
['contig-0007993', 204064]
['contig-0047798', 204014]
['contig-0105381', 204012]
['contig-0051846', 204002]
['contig-0114740', 203991]
['contig-0040041', 203975]
['contig-0064505', 203970]
['contig-0073377', 203968]
['contig-0082311', 203938]
['contig-0112894', 203919]
['contig-0094528', 203880]
['contig-0056776', 203852]
['contig-0034287', 203818]
['contig-0099168', 203808]
['contig-0101771', 203774]
['contig-0074505', 203759]
['contig-0061139', 203746]
['contig-0019201', 203741]
['contig-0047171', 203728]
['contig-0010339', 203725]
['contig-0015519', 203716]
['contig-0013473', 203681]
['contig-0092041', 203679]
['contig-0035231', 203666]
['contig-0098596', 203651]
['contig-0073132', 203619]
['contig-0035332', 203611]
['contig-0116545', 203607]
['contig-0039538', 203597]
['contig-0039433', 203581]
['contig-0042733', 203540]
['contig-0119344', 203502]
['contig-0064351', 203458]
['contig-0065884', 203400]
['contig-0005029', 203385]
['contig-0057587', 203382]
['contig-0067046', 203176]
['contig-0064250', 203152]
['contig-0099075', 203133]
['contig-0108389', 203112]
['contig-0102529', 203105]
['contig-0123025', 203097]
['contig-0108761', 203064]
['contig-0036576', 203057]
['contig-0025579', 203042]
['contig-0108523', 203038]
['contig-0062349', 203013]
['contig-0070153', 203004]
['contig-0013176', 203000]
['contig-0042044', 202974]
['contig-0076768', 202973]
['contig-0036802', 202960]
['contig-0002259', 202931]
['contig-0020692', 202919]
['contig-0022946', 202917]
['contig-0087877', 202911]
['contig-0008279', 202906]
['contig-0096434', 202886]
['contig-0010135', 202877]
['contig-0100418', 202870]
['contig-0067223', 202849]
['contig-0051758', 202814]
['contig-0058057', 202788]
['contig-0121705', 202769]
['contig-0063978', 202748]
['contig-0040801', 202732]
['contig-0091601', 202711]
['contig-0034639', 202699]
['contig-0025078', 202638]
['contig-0019647', 202636]
['contig-0067142', 202635]
['contig-0014087', 202615]
['contig-0030392', 202604]
['contig-0094067', 202517]
['contig-0053810', 202511]
['contig-0076774', 202493]
['contig-0047761', 202413]
['contig-0089349', 202398]
['contig-0013827', 202397]
['contig-0055693', 202397]
['contig-0029817', 202381]
['contig-0042109', 202375]
['contig-0091194', 202362]
['contig-0032849', 202351]
['contig-0024422', 202327]
['contig-0095598', 202323]
['contig-0073481', 202267]
['contig-0037994', 202253]
['contig-0003015', 202248]
['contig-0072996', 202239]
['contig-0090369', 202239]
['contig-0023382', 202234]
['contig-0075270', 202201]
['contig-0030641', 202189]
['contig-0086806', 202151]
['contig-0102341', 202119]
['contig-0060672', 202095]
['contig-0045049', 202075]
['contig-0057609', 202059]
['contig-0053247', 202027]
['contig-0105313', 202027]
['contig-0124972', 202005]
['contig-0045761', 201966]
['contig-0014590', 201961]
['contig-0042575', 201953]
['contig-0076531', 201939]
['contig-0032913', 201938]
['contig-0111872', 201935]
['contig-0102203', 201916]
['contig-0106284', 201903]
['contig-0056233', 201874]
['contig-0009173', 201854]
['contig-0068906', 201842]
['contig-0082339', 201808]
['contig-0042747', 201805]
['contig-0070882', 201805]
['contig-0078191', 201797]
['contig-0089431', 201795]
['contig-0063400', 201763]
['contig-0009299', 201735]
['contig-0041813', 201727]
['contig-0117749', 201715]
['contig-0008470', 201707]
['contig-0005519', 201684]
['contig-0001923', 201638]
['contig-0049110', 201635]
['contig-0070350', 201634]
['contig-0100852', 201627]
['contig-0041052', 201596]
['contig-0101311', 201559]
['contig-0054043', 201523]
['contig-0076954', 201520]
['contig-0050209', 201519]
['contig-0103939', 201508]
['contig-0020919', 201498]
['contig-0001054', 201495]
['contig-0094709', 201479]
['contig-0060130', 201475]
['contig-0105975', 201452]
['contig-0024054', 201412]
['contig-0110566', 201395]
['contig-0096237', 201390]
['contig-0089396', 201389]
['contig-0063046', 201388]
['contig-0106927', 201380]
['contig-0104258', 201359]
['contig-0063878', 201348]
['contig-0106382', 201333]
['contig-0082502', 201310]
['contig-0057438', 201286]
['contig-0064755', 201205]
['contig-0125668', 201145]
['contig-0118667', 201132]
['contig-0008630', 201125]
['contig-0107356', 201121]
['contig-0095328', 201117]
['contig-0112464', 201097]
['contig-0001321', 201094]
['contig-0093750', 201079]
['contig-0026085', 201073]
['contig-0078135', 201064]
['contig-0059210', 201039]
['contig-0016521', 201029]
['contig-0001661', 201013]
['contig-0110333', 200922]
['contig-0063521', 200909]
['contig-0072395', 200907]
['contig-0008636', 200884]
['contig-0008363', 200871]
['contig-0092291', 200852]
['contig-0044887', 200846]
['contig-0095300', 200809]
['contig-0046475', 200767]
['contig-0104145', 200734]
['contig-0000794', 200669]
['contig-0076576', 200646]
['contig-0107253', 200606]
['contig-0114047', 200593]
['contig-0039767', 200583]
['contig-0078506', 200573]
['contig-0007006', 200482]
['contig-0095077', 200463]
['contig-0104343', 200447]
['contig-0070236', 200444]
['contig-0106071', 200443]
['contig-0073286', 200413]
['contig-0075487', 200371]
['contig-0010585', 200357]
['contig-0026149', 200355]
['contig-0002884', 200352]
['contig-0013388', 200351]
['contig-0043400', 200315]
['contig-0119205', 200313]
['contig-0028400', 200301]
['contig-0064041', 200283]
['contig-0034280', 200226]
['contig-0005210', 200225]
['contig-0109252', 200213]
['contig-0072099', 200174]
['contig-0061740', 200141]
['contig-0013155', 200100]
['contig-0074626', 200062]
['contig-0096480', 200042]
['contig-0032120', 200036]
['contig-0103284', 200008]
['contig-0001758', 200005]
['contig-0058404', 199997]
['contig-0107239', 199988]
['contig-0114492', 199961]
['contig-0127144', 199947]
['contig-0013448', 199946]
['contig-0010636', 199910]
['contig-0081262', 199882]
['contig-0032840', 199869]
['contig-0127209', 199854]
['contig-0104476', 199846]
['contig-0098191', 199838]
['contig-0081976', 199824]
['contig-0023521', 199793]
['contig-0087368', 199773]
['contig-0039504', 199762]
['contig-0011970', 199759]
['contig-0090198', 199730]
['contig-0003867', 199719]
['contig-0066456', 199701]
['contig-0014519', 199698]
['contig-0048227', 199697]
['contig-0090682', 199694]
['contig-0023419', 199674]
['contig-0068222', 199654]
['contig-0013087', 199601]
['contig-0036203', 199575]
['contig-0105363', 199569]
['contig-0041378', 199560]
['contig-0027897', 199559]
['contig-0006844', 199532]
['contig-0091465', 199507]
['contig-0005423', 199496]
['contig-0058115', 199465]
['contig-0007872', 199449]
['contig-0049417', 199449]
['contig-0013669', 199417]
['contig-0001828', 199394]
['contig-0102871', 199367]
['contig-0090457', 199366]
['contig-0050451', 199324]
['contig-0017063', 199282]
['contig-0068311', 199263]
['contig-0018857', 199258]
['contig-0027433', 199255]
['contig-0069446', 199239]
['contig-0102856', 199203]
['contig-0009866', 199141]
['contig-0024789', 199071]
['contig-0005920', 199068]
['contig-0064388', 199056]
['contig-0058411', 199027]
['contig-0022246', 199020]
['contig-0060320', 199018]
['contig-0026585', 199014]
['contig-0115500', 199006]
['contig-0106635', 199002]
['contig-0094030', 198972]
['contig-0077723', 198943]
['contig-0068322', 198938]
['contig-0021528', 198937]
['contig-0001462', 198898]
['contig-0071942', 198885]
['contig-0055444', 198874]
['contig-0061344', 198840]
['contig-0051743', 198836]
['contig-0074667', 198822]
['contig-0071066', 198806]
['contig-0038729', 198783]
['contig-0017621', 198768]
['contig-0119057', 198765]
['contig-0050079', 198764]
['contig-0034445', 198732]
['contig-0076567', 198731]
['contig-0054503', 198714]
['contig-0030118', 198701]
['contig-0036253', 198698]
['contig-0093252', 198654]
['contig-0077737', 198631]
['contig-0022045', 198605]
['contig-0112161', 198589]
['contig-0005610', 198585]
['contig-0098129', 198582]
['contig-0032426', 198569]
['contig-0044024', 198569]
['contig-0103088', 198569]
['contig-0035307', 198558]
['contig-0067232', 198550]
['contig-0080278', 198503]
['contig-0034191', 198479]
['contig-0010646', 198459]
['contig-0075038', 198449]
['contig-0016237', 198444]
['contig-0107774', 198433]
['contig-0085849', 198422]
['contig-0091345', 198406]
['contig-0081799', 198358]
['contig-0075985', 198353]
['contig-0079263', 198309]
['contig-0114539', 198303]
['contig-0034327', 198300]
['contig-0038951', 198298]
['contig-0035609', 198283]
['contig-0010562', 198225]
['contig-0066541', 198225]
['contig-0008397', 198167]
['contig-0068313', 198142]
['contig-0072583', 198141]
['contig-0009052', 198139]
['contig-0062633', 198100]
['contig-0095843', 198089]
['contig-0118764', 198085]
['contig-0059856', 198080]
['contig-0102442', 198053]
['contig-0061756', 198033]
['contig-0090191', 197999]
['contig-0009917', 197982]
['contig-0045534', 197918]
['contig-0055929', 197892]
['contig-0078307', 197851]
