['DEINVI_00007', 132903021]
['DEINVI_13764', 11914]
['DEINVI_13765', 11912]
['DEINVI_13766', 11910]
['DEINVI_13767', 11908]
['DEINVI_13768', 11908]
['DEINVI_13769', 11907]
['DEINVI_13770', 11907]
['DEINVI_03221', 11906]
['DEINVI_13771', 11906]
['DEINVI_13772', 11906]
['DEINVI_13773', 11903]
['DEINVI_13774', 11903]
['DEINVI_03488', 11902]
['DEINVI_13775', 11901]
['DEINVI_13776', 11900]
['DEINVI_13777', 11898]
['DEINVI_13778', 11897]
['DEINVI_01135', 11894]
['DEINVI_13779', 11894]
['DEINVI_05540', 11893]
['DEINVI_13780', 11892]
['DEINVI_13781', 11892]
['DEINVI_13782', 11889]
['DEINVI_13783', 11888]
['DEINVI_13784', 11886]
['DEINVI_13785', 11884]
['DEINVI_07927', 11883]
['DEINVI_13786', 11883]
['DEINVI_01870', 11882]
['DEINVI_03620', 11881]
['DEINVI_13787', 11881]
['DEINVI_13788', 11879]
['DEINVI_13789', 11872]
['DEINVI_13790', 11872]
['DEINVI_09445', 11871]
['DEINVI_01518', 11867]
['DEINVI_13791', 11867]
['DEINVI_13792', 11867]
['DEINVI_02336', 11866]
['DEINVI_13793', 11865]
['DEINVI_13794', 11864]
['DEINVI_13795', 11861]
['DEINVI_00976', 11860]
['DEINVI_13796', 11860]
['DEINVI_13797', 11859]
['DEINVI_13798', 11856]
['DEINVI_13799', 11850]
['DEINVI_13800', 11849]
['DEINVI_13801', 11849]
['DEINVI_04926', 11848]
['DEINVI_13802', 11848]
['DEINVI_13803', 11846]
['DEINVI_13804', 11843]
['DEINVI_13805', 11842]
['DEINVI_13806', 11842]
['DEINVI_07799', 11839]
['DEINVI_13807', 11839]
['DEINVI_13808', 11838]
['DEINVI_13809', 11838]
['DEINVI_05053', 11836]
['DEINVI_13810', 11835]
['DEINVI_13811', 11835]
['DEINVI_13812', 11834]
['DEINVI_02927', 11833]
['DEINVI_13813', 11832]
['DEINVI_13814', 11831]
['DEINVI_05092', 11830]
['DEINVI_13815', 11829]
['DEINVI_13816', 11829]
['DEINVI_13817', 11829]
['DEINVI_13818', 11826]
['DEINVI_13819', 11824]
['DEINVI_13820', 11823]
['DEINVI_13821', 11822]
['DEINVI_13822', 11822]
['DEINVI_00999', 11820]
['DEINVI_13823', 11819]
['DEINVI_13824', 11819]
['DEINVI_13825', 11819]
['DEINVI_13826', 11818]
['DEINVI_13827', 11818]
['DEINVI_06275', 11817]
['DEINVI_13828', 11817]
['DEINVI_13829', 11816]
['DEINVI_13830', 11814]
['DEINVI_09244', 11812]
['DEINVI_13831', 11812]
['DEINVI_13832', 11809]
['DEINVI_13833', 11808]
['DEINVI_13834', 11806]
['DEINVI_13835', 11805]
['DEINVI_05088', 11804]
['DEINVI_13836', 11804]
['DEINVI_13837', 11802]
['DEINVI_13838', 11802]
['DEINVI_06794', 11799]
['DEINVI_13839', 11798]
['DEINVI_13840', 11794]
['DEINVI_13841', 11793]
['DEINVI_13842', 11792]
['DEINVI_13843', 11790]
['DEINVI_04087', 11789]
['DEINVI_05376', 11786]
['DEINVI_08486', 11786]
['DEINVI_13844', 11785]
['DEINVI_13845', 11785]
['DEINVI_13846', 11785]
['DEINVI_08642', 11784]
['DEINVI_13847', 11782]
['DEINVI_13848', 11781]
['DEINVI_13849', 11781]
['DEINVI_00831', 11778]
['DEINVI_13850', 11777]
['DEINVI_13851', 11776]
['DEINVI_13852', 11775]
['DEINVI_13853', 11774]
['DEINVI_13854', 11774]
['DEINVI_13855', 11774]
['DEINVI_13856', 11773]
['DEINVI_13857', 11773]
['DEINVI_13858', 11771]
['DEINVI_13859', 11770]
['DEINVI_13860', 11768]
['DEINVI_07612', 11765]
['DEINVI_13861', 11763]
['DEINVI_13862', 11762]
['DEINVI_13863', 11761]
['DEINVI_13864', 11759]
['DEINVI_13865', 11758]
['DEINVI_13866', 11757]
['DEINVI_07265', 11756]
['DEINVI_13867', 11756]
['DEINVI_13868', 11755]
['DEINVI_03035', 11752]
['DEINVI_13869', 11751]
['DEINVI_13870', 11751]
['DEINVI_13871', 11750]
['DEINVI_09481', 11749]
['DEINVI_13872', 11749]
['DEINVI_13873', 11749]
['DEINVI_13874', 11748]
['DEINVI_13875', 11747]
['DEINVI_13876', 11747]
['DEINVI_13877', 11747]
['DEINVI_13878', 11745]
['DEINVI_13879', 11744]
['DEINVI_13880', 11744]
['DEINVI_13881', 11744]
['DEINVI_09781', 11742]
['DEINVI_13882', 11742]
['DEINVI_08104', 11741]
['DEINVI_13883', 11740]
['DEINVI_13884', 11740]
['DEINVI_13885', 11740]
['DEINVI_08258', 11738]
['DEINVI_13886', 11737]
['DEINVI_13887', 11736]
['DEINVI_06653', 11735]
['DEINVI_07795', 11734]
['DEINVI_09369', 11734]
['DEINVI_13888', 11727]
['DEINVI_13889', 11727]
['DEINVI_13890', 11726]
['DEINVI_13891', 11726]
['DEINVI_13892', 11723]
['DEINVI_13893', 11723]
['DEINVI_13894', 11723]
['DEINVI_13895', 11722]
['DEINVI_13896', 11722]
['DEINVI_05162', 11721]
['DEINVI_13897', 11721]
['DEINVI_13898', 11720]
['DEINVI_13899', 11720]
['DEINVI_13900', 11718]
['DEINVI_13901', 11718]
['DEINVI_13902', 11717]
['DEINVI_13903', 11715]
['DEINVI_07713', 11709]
['DEINVI_07256', 11708]
['DEINVI_13904', 11708]
['DEINVI_13905', 11704]
['DEINVI_03112', 11703]
['DEINVI_13906', 11703]
['DEINVI_13907', 11697]
['DEINVI_08336', 11695]
['DEINVI_13908', 11695]
['DEINVI_13909', 11694]
['DEINVI_13910', 11689]
['DEINVI_13911', 11687]
['DEINVI_13912', 11686]
['DEINVI_13913', 11680]
['DEINVI_13914', 11678]
['DEINVI_13915', 11678]
['DEINVI_13916', 11670]
['DEINVI_13917', 11668]
['DEINVI_13918', 11668]
['DEINVI_13919', 11668]
['DEINVI_13920', 11667]
['DEINVI_13921', 11664]
['DEINVI_07293', 11663]
['DEINVI_07301', 11662]
['DEINVI_13922', 11661]
['DEINVI_13923', 11661]
['DEINVI_13924', 11661]
['DEINVI_13925', 11660]
['DEINVI_13926', 11659]
['DEINVI_13927', 11657]
['DEINVI_13928', 11655]
['DEINVI_13929', 11654]
['DEINVI_13930', 11654]
['DEINVI_13931', 11651]
['DEINVI_13932', 11650]
['DEINVI_13933', 11649]
['DEINVI_13934', 11649]
['DEINVI_01990', 11647]
['DEINVI_13935', 11644]
['DEINVI_07975', 11643]
['DEINVI_13936', 11642]
['DEINVI_13937', 11642]
['DEINVI_01347', 11639]
['DEINVI_13938', 11637]
['DEINVI_13939', 11635]
['DEINVI_13940', 11635]
['DEINVI_13941', 11634]
['DEINVI_13942', 11632]
['DEINVI_13943', 11632]
['DEINVI_09430', 11630]
['DEINVI_13944', 11627]
['DEINVI_13945', 11626]
['DEINVI_13946', 11624]
['DEINVI_13947', 11623]
['DEINVI_13948', 11623]
['DEINVI_13949', 11623]
['DEINVI_13950', 11623]
['DEINVI_13951', 11622]
['DEINVI_13952', 11622]
['DEINVI_13953', 11622]
['DEINVI_13954', 11620]
['DEINVI_13955', 11619]
['DEINVI_13956', 11619]
['DEINVI_13957', 11618]
['DEINVI_13958', 11618]
['DEINVI_13959', 11617]
['DEINVI_13960', 11617]
['DEINVI_13961', 11617]
['DEINVI_02737', 11616]
['DEINVI_07006', 11614]
['DEINVI_13962', 11613]
['DEINVI_13963', 11613]
['DEINVI_13964', 11612]
['DEINVI_13965', 11611]
['DEINVI_13966', 11610]
['DEINVI_13967', 11609]
['DEINVI_13968', 11609]
['DEINVI_13969', 11608]
['DEINVI_13970', 11607]
['DEINVI_13971', 11605]
['DEINVI_13972', 11604]
['DEINVI_13973', 11601]
['DEINVI_08567', 11600]
['DEINVI_13974', 11600]
['DEINVI_13975', 11599]
['DEINVI_13976', 11597]
['DEINVI_13977', 11596]
['DEINVI_13978', 11595]
['DEINVI_03123', 11594]
['DEINVI_13979', 11594]
['DEINVI_03879', 11593]
['DEINVI_08812', 11592]
['DEINVI_13980', 11591]
['DEINVI_13981', 11591]
['DEINVI_13982', 11589]
['DEINVI_13983', 11588]
['DEINVI_13984', 11587]
['DEINVI_13985', 11586]
['DEINVI_13986', 11585]
['DEINVI_05734', 11584]
['DEINVI_13987', 11584]
['DEINVI_13988', 11583]
['DEINVI_13989', 11581]
['DEINVI_06020', 11580]
['DEINVI_04367', 11578]
['DEINVI_13990', 11576]
['DEINVI_13991', 11576]
['DEINVI_13992', 11575]
['DEINVI_13993', 11575]
['DEINVI_13994', 11574]
['DEINVI_13995', 11573]
['DEINVI_13996', 11572]
['DEINVI_13997', 11571]
['DEINVI_13998', 11570]
['DEINVI_13999', 11569]
['DEINVI_14000', 11568]
['DEINVI_14001', 11567]
['DEINVI_14002', 11564]
['DEINVI_14003', 11563]
['DEINVI_14004', 11561]
['DEINVI_06892', 11558]
['DEINVI_14005', 11557]
['DEINVI_14006', 11556]
['DEINVI_14007', 11556]
['DEINVI_14008', 11554]
['DEINVI_14009', 11553]
['DEINVI_14010', 11552]
['DEINVI_14011', 11551]
['DEINVI_14012', 11550]
['DEINVI_14013', 11550]
['DEINVI_14014', 11550]
['DEINVI_14015', 11549]
['DEINVI_14016', 11547]
['DEINVI_05379', 11543]
['DEINVI_06200', 11543]
['DEINVI_08590', 11543]
['DEINVI_14017', 11543]
['DEINVI_14018', 11542]
['DEINVI_14019', 11537]
['DEINVI_14020', 11537]
['DEINVI_14021', 11535]
['DEINVI_04558', 11534]
['DEINVI_14022', 11534]
['DEINVI_08112', 11533]
['DEINVI_14023', 11533]
['DEINVI_07358', 11530]
['DEINVI_09420', 11529]
['DEINVI_14024', 11529]
['DEINVI_14025', 11527]
['DEINVI_14026', 11527]
['DEINVI_07517', 11526]
['DEINVI_14027', 11526]
['DEINVI_14028', 11525]
['DEINVI_14029', 11525]
['DEINVI_14030', 11525]
['DEINVI_14031', 11525]
['DEINVI_14032', 11524]
['DEINVI_02107', 11523]
['DEINVI_14033', 11523]
['DEINVI_14034', 11522]
['DEINVI_14035', 11522]
['DEINVI_14036', 11521]
['DEINVI_07936', 11520]
['DEINVI_14037', 11520]
['DEINVI_14038', 11520]
['DEINVI_14039', 11518]
['DEINVI_14040', 11515]
['DEINVI_03983', 11514]
['DEINVI_14041', 11514]
['DEINVI_08840', 11512]
['DEINVI_14042', 11511]
['DEINVI_04281', 11510]
['DEINVI_07253', 11510]
['DEINVI_14043', 11507]
['DEINVI_14044', 11506]
['DEINVI_14045', 11504]
['DEINVI_14046', 11504]
['DEINVI_07736', 11503]
['DEINVI_14047', 11500]
['DEINVI_14048', 11500]
['DEINVI_09734', 11499]
['DEINVI_14049', 11499]
['DEINVI_07764', 11497]
['DEINVI_03777', 11496]
['DEINVI_14050', 11496]
['DEINVI_03377', 11495]
['DEINVI_14051', 11494]
['DEINVI_14052', 11493]
['DEINVI_14053', 11492]
['DEINVI_05173', 11491]
['DEINVI_14054', 11491]
['DEINVI_14055', 11489]
['DEINVI_14056', 11486]
['DEINVI_14057', 11486]
['DEINVI_14058', 11485]
['DEINVI_14059', 11485]
['DEINVI_14060', 11484]
['DEINVI_14061', 11484]
['DEINVI_14062', 11481]
['DEINVI_14063', 11480]
['DEINVI_14064', 11479]
['DEINVI_14065', 11478]
['DEINVI_14066', 11477]
['DEINVI_14067', 11476]
['DEINVI_14068', 11475]
['DEINVI_14069', 11474]
['DEINVI_14070', 11474]
['DEINVI_14071', 11472]
['DEINVI_14072', 11468]
['DEINVI_06136', 11467]
['DEINVI_14073', 11465]
['DEINVI_14074', 11464]
['DEINVI_14075', 11464]
['DEINVI_14076', 11463]
['DEINVI_14077', 11461]
['DEINVI_14078', 11458]
['DEINVI_14079', 11457]
['DEINVI_14080', 11456]
['DEINVI_07538', 11454]
['DEINVI_09622', 11453]
['DEINVI_14081', 11453]
['DEINVI_14082', 11452]
['DEINVI_03314', 11451]
['DEINVI_14083', 11450]
['DEINVI_09051', 11449]
['DEINVI_14084', 11449]
['DEINVI_14085', 11449]
['DEINVI_14086', 11448]
['DEINVI_01275', 11447]
['DEINVI_14087', 11446]
['DEINVI_14088', 11446]
['DEINVI_14089', 11445]
['DEINVI_05946', 11444]
['DEINVI_14090', 11441]
['DEINVI_14091', 11437]
['DEINVI_14092', 11437]
['DEINVI_14093', 11434]
['DEINVI_14094', 11433]
['DEINVI_14095', 11433]
['DEINVI_08053', 11432]
['DEINVI_14096', 11431]
['DEINVI_07482', 11430]
['DEINVI_14097', 11430]
['DEINVI_01205', 11429]
['DEINVI_14098', 11429]
['DEINVI_08826', 11426]
['DEINVI_14099', 11425]
['DEINVI_14100', 11424]
['DEINVI_14101', 11422]
['DEINVI_14102', 11422]
['DEINVI_14103', 11421]
['DEINVI_04690', 11419]
['DEINVI_14104', 11418]
['DEINVI_04818', 11417]
['DEINVI_09614', 11417]
['DEINVI_09378', 11415]
['DEINVI_14105', 11415]
['DEINVI_14106', 11412]
['DEINVI_14107', 11409]
['DEINVI_14108', 11409]
['DEINVI_14109', 11408]
['DEINVI_14110', 11408]
['DEINVI_01426', 11404]
['DEINVI_14111', 11404]
['DEINVI_14112', 11403]
['DEINVI_04950', 11400]
['DEINVI_09685', 11400]
['DEINVI_14113', 11398]
['DEINVI_14114', 11398]
['DEINVI_05417', 11397]
['DEINVI_14115', 11397]
['DEINVI_05227', 11395]
['DEINVI_08246', 11395]
['DEINVI_14116', 11392]
['DEINVI_06819', 11390]
['DEINVI_07307', 11390]
['DEINVI_14117', 11390]
['DEINVI_14118', 11389]
['DEINVI_14119', 11388]
['DEINVI_14120', 11387]
['DEINVI_14121', 11387]
['DEINVI_14122', 11385]
['DEINVI_14123', 11384]
['DEINVI_14124', 11384]
['DEINVI_14125', 11381]
['DEINVI_14126', 11381]
['DEINVI_14127', 11379]
['DEINVI_14128', 11379]
['DEINVI_08338', 11378]
['DEINVI_14129', 11378]
['DEINVI_01816', 11377]
['DEINVI_14130', 11376]
['DEINVI_05397', 11375]
['DEINVI_14131', 11375]
['DEINVI_14132', 11375]
['DEINVI_14133', 11375]
['DEINVI_14134', 11373]
['DEINVI_09167', 11372]
['DEINVI_14135', 11371]
['DEINVI_14136', 11370]
['DEINVI_14137', 11370]
['DEINVI_05626', 11365]
['DEINVI_14138', 11365]
['DEINVI_14139', 11364]
['DEINVI_14140', 11362]
['DEINVI_14141', 11361]
['DEINVI_14142', 11361]
['DEINVI_14143', 11360]
['DEINVI_14144', 11359]
['DEINVI_09380', 11358]
['DEINVI_14145', 11357]
['DEINVI_14146', 11356]
['DEINVI_14147', 11355]
['DEINVI_03808', 11354]
['DEINVI_14148', 11354]
['DEINVI_14149', 11353]
['DEINVI_14150', 11350]
['DEINVI_08736', 11349]
['DEINVI_14151', 11349]
['DEINVI_14152', 11349]
['DEINVI_14153', 11349]
['DEINVI_14154', 11347]
['DEINVI_07935', 11344]
['DEINVI_14155', 11344]
['DEINVI_14156', 11344]
['DEINVI_14157', 11342]
['DEINVI_14158', 11341]
['DEINVI_14159', 11340]
['DEINVI_14160', 11336]
['DEINVI_14161', 11335]
['DEINVI_05575', 11333]
['DEINVI_14162', 11333]
['DEINVI_14163', 11332]
['DEINVI_14164', 11331]
['DEINVI_14165', 11331]
['DEINVI_14166', 11330]
['DEINVI_14167', 11327]
['DEINVI_14168', 11327]
['DEINVI_14169', 11326]
['DEINVI_09512', 11324]
['DEINVI_09235', 11319]
['DEINVI_14170', 11318]
['DEINVI_14171', 11316]
['DEINVI_14172', 11315]
['DEINVI_14173', 11315]
['DEINVI_04916', 11313]
['DEINVI_14174', 11313]
['DEINVI_14175', 11312]
['DEINVI_14176', 11312]
['DEINVI_14177', 11312]
['DEINVI_14178', 11310]
['DEINVI_14179', 11310]
['DEINVI_14180', 11310]
['DEINVI_14181', 11310]
['DEINVI_14182', 11310]
['DEINVI_14183', 11310]
['DEINVI_14184', 11310]
['DEINVI_14185', 11309]
['DEINVI_14186', 11309]
['DEINVI_05228', 11307]
['DEINVI_09790', 11307]
['DEINVI_14187', 11307]
['DEINVI_14188', 11307]
['DEINVI_14189', 11305]
['DEINVI_14190', 11305]
['DEINVI_08203', 11304]
['DEINVI_14191', 11297]
['DEINVI_14192', 11294]
['DEINVI_04372', 11292]
['DEINVI_14193', 11292]
['DEINVI_14194', 11290]
['DEINVI_14195', 11289]
['DEINVI_14196', 11289]
['DEINVI_02020', 11288]
['DEINVI_14197', 11286]
['DEINVI_14198', 11285]
['DEINVI_14199', 11283]
['DEINVI_05884', 11279]
['DEINVI_09763', 11279]
['DEINVI_14200', 11279]
['DEINVI_09787', 11275]
['DEINVI_03325', 11273]
['DEINVI_14201', 11273]
['DEINVI_14202', 11273]
['DEINVI_14203', 11272]
['DEINVI_14204', 11271]
['DEINVI_14205', 11270]
['DEINVI_14206', 11269]
['DEINVI_14207', 11269]
['DEINVI_14208', 11269]
['DEINVI_14209', 11268]
['DEINVI_14210', 11268]
['DEINVI_14211', 11266]
['DEINVI_14212', 11266]
['DEINVI_14213', 11265]
['DEINVI_14214', 11262]
['DEINVI_08313', 11260]
['DEINVI_14215', 11260]
['DEINVI_14216', 11259]
['DEINVI_14217', 11258]
['DEINVI_14218', 11257]
['DEINVI_14219', 11255]
['DEINVI_14220', 11255]
['DEINVI_14221', 11254]
['DEINVI_14222', 11254]
['DEINVI_14223', 11254]
['DEINVI_03400', 11253]
['DEINVI_14224', 11251]
['DEINVI_14225', 11250]
['DEINVI_14226', 11249]
['DEINVI_14227', 11247]
['DEINVI_14228', 11246]
['DEINVI_07844', 11244]
['DEINVI_09807', 11244]
['DEINVI_14229', 11244]
['DEINVI_07405', 11241]
['DEINVI_06361', 11237]
['DEINVI_14230', 11237]
['DEINVI_14231', 11235]
['DEINVI_09334', 11234]
['DEINVI_14232', 11234]
['DEINVI_14233', 11233]
['DEINVI_14234', 11232]
['DEINVI_14235', 11231]
['DEINVI_14236', 11230]
['DEINVI_05881', 11227]
['DEINVI_08411', 11226]
['DEINVI_14237', 11226]
['DEINVI_14238', 11223]
['DEINVI_14239', 11222]
['DEINVI_14240', 11221]
['DEINVI_14241', 11219]
['DEINVI_14242', 11218]
['DEINVI_14243', 11218]
['DEINVI_14244', 11215]
['DEINVI_08302', 11214]
['DEINVI_14245', 11211]
['DEINVI_14246', 11210]
['DEINVI_06432', 11209]
['DEINVI_14247', 11209]
['DEINVI_07268', 11208]
['DEINVI_09527', 11207]
['DEINVI_14248', 11207]
['DEINVI_14249', 11207]
['DEINVI_14250', 11206]
['DEINVI_14251', 11204]
['DEINVI_08895', 11202]
['DEINVI_14252', 11198]
['DEINVI_14253', 11196]
['DEINVI_14254', 11195]
['DEINVI_14255', 11194]
['DEINVI_14256', 11194]
['DEINVI_14257', 11193]
['DEINVI_14258', 11192]
['DEINVI_14259', 11192]
['DEINVI_14260', 11192]
['DEINVI_08686', 11189]
['DEINVI_14261', 11189]
['DEINVI_09625', 11187]
['DEINVI_14262', 11187]
['DEINVI_14263', 11185]
['DEINVI_05844', 11184]
['DEINVI_14264', 11184]
['DEINVI_14265', 11183]
['DEINVI_14266', 11181]
['DEINVI_14267', 11178]
['DEINVI_14268', 11178]
['DEINVI_14269', 11177]
['DEINVI_04077', 11176]
['DEINVI_14270', 11175]
['DEINVI_14271', 11175]
['DEINVI_00730', 11174]
['DEINVI_14272', 11174]
['DEINVI_00832', 11168]
['DEINVI_14273', 11168]
['DEINVI_14274', 11167]
['DEINVI_14275', 11167]
['DEINVI_14276', 11166]
['DEINVI_14277', 11164]
['DEINVI_14278', 11164]
['DEINVI_14279', 11162]
['DEINVI_14280', 11161]
['DEINVI_08128', 11159]
['DEINVI_14281', 11157]
['DEINVI_14282', 11156]
['DEINVI_14283', 11156]
['DEINVI_14284', 11155]
['DEINVI_07897', 11154]
['DEINVI_05009', 11153]
['DEINVI_14285', 11153]
['DEINVI_14286', 11153]
['DEINVI_14287', 11153]
['DEINVI_14288', 11151]
['DEINVI_02495', 11149]
['DEINVI_14289', 11149]
['DEINVI_14290', 11147]
['DEINVI_14291', 11146]
['DEINVI_14292', 11145]
['DEINVI_04009', 11143]
['DEINVI_14293', 11143]
['DEINVI_14294', 11142]
['DEINVI_08037', 11141]
['DEINVI_14295', 11141]
['DEINVI_05853', 11139]
['DEINVI_14296', 11136]
['DEINVI_14297', 11136]
['DEINVI_14298', 11136]
['DEINVI_14299', 11135]
['DEINVI_07953', 11133]
['DEINVI_14300', 11133]
['DEINVI_14301', 11133]
['DEINVI_14302', 11132]
['DEINVI_14303', 11132]
['DEINVI_14304', 11131]
['DEINVI_14305', 11130]
['DEINVI_06914', 11127]
['DEINVI_07840', 11127]
['DEINVI_07595', 11125]
['DEINVI_14306', 11125]
['DEINVI_14307', 11125]
['DEINVI_14308', 11123]
['DEINVI_14309', 11122]
['DEINVI_14310', 11121]
['DEINVI_14311', 11121]
['DEINVI_14312', 11120]
['DEINVI_14313', 11120]
['DEINVI_02860', 11118]
['DEINVI_14314', 11117]
['DEINVI_00693', 11114]
['DEINVI_14315', 11112]
['DEINVI_14316', 11112]
['DEINVI_14317', 11106]
['DEINVI_14318', 11106]
['DEINVI_14319', 11105]
['DEINVI_03853', 11103]
['DEINVI_06264', 11103]
['DEINVI_14320', 11101]
['DEINVI_14321', 11100]
['DEINVI_14322', 11100]
['DEINVI_07081', 11099]
['DEINVI_14323', 11098]
['DEINVI_14324', 11097]
['DEINVI_14325', 11096]
['DEINVI_14326', 11096]
['DEINVI_14327', 11096]
['DEINVI_14328', 11095]
['DEINVI_14329', 11093]
['DEINVI_14330', 11093]
['DEINVI_14331', 11091]
['DEINVI_14332', 11088]
['DEINVI_14333', 11088]
['DEINVI_14334', 11087]
['DEINVI_14335', 11087]
['DEINVI_08881', 11085]
['DEINVI_14336', 11084]
['DEINVI_14337', 11083]
['DEINVI_14338', 11083]
['DEINVI_04573', 11082]
['DEINVI_08983', 11080]
['DEINVI_14339', 11079]
['DEINVI_14340', 11078]
['DEINVI_14341', 11078]
['DEINVI_14342', 11077]
['DEINVI_14343', 11077]
['DEINVI_14344', 11076]
['DEINVI_05825', 11075]
['DEINVI_14345', 11075]
['DEINVI_14346', 11075]
['DEINVI_14347', 11073]
['DEINVI_14348', 11073]
['DEINVI_14349', 11071]
['DEINVI_10956', 11070]
['DEINVI_14350', 11070]
['DEINVI_14351', 11068]
['DEINVI_14352', 11067]
['DEINVI_14353', 11066]
['DEINVI_02676', 11065]
['DEINVI_14354', 11064]
['DEINVI_14355', 11064]
['DEINVI_14356', 11063]
['DEINVI_14357', 11063]
['DEINVI_01252', 11061]
['DEINVI_14358', 11059]
['DEINVI_14359', 11058]
['DEINVI_14360', 11057]
['DEINVI_14361', 11055]
['DEINVI_06358', 11052]
['DEINVI_14362', 11051]
['DEINVI_03163', 11049]
['DEINVI_14363', 11049]
['DEINVI_14364', 11049]
['DEINVI_14365', 11049]
['DEINVI_14366', 11045]
['DEINVI_14367', 11043]
['DEINVI_14368', 11043]
['DEINVI_09038', 11042]
['DEINVI_14369', 11041]
['DEINVI_14370', 11040]
['DEINVI_14371', 11040]
['DEINVI_14372', 11040]
['DEINVI_14373', 11038]
['DEINVI_14374', 11038]
['DEINVI_14375', 11036]
['DEINVI_07417', 11035]
['DEINVI_14376', 11035]
['DEINVI_14377', 11033]
['DEINVI_14378', 11030]
['DEINVI_14379', 11030]
['DEINVI_14380', 11029]
['DEINVI_14381', 11029]
['DEINVI_05086', 11027]
['DEINVI_14382', 11027]
['DEINVI_14383', 11027]
['DEINVI_14384', 11025]
['DEINVI_14385', 11025]
['DEINVI_14386', 11024]
['DEINVI_08409', 11023]
['DEINVI_14387', 11022]
['DEINVI_14388', 11020]
['DEINVI_14389', 11020]
['DEINVI_02845', 11018]
['DEINVI_14390', 11018]
['DEINVI_14391', 11017]
['DEINVI_14392', 11017]
['DEINVI_14393', 11015]
['DEINVI_14394', 11014]
['DEINVI_14395', 11014]
['DEINVI_14396', 11010]
['DEINVI_14397', 11010]
['DEINVI_14398', 11009]
['DEINVI_14399', 11008]
['DEINVI_14400', 11008]
['DEINVI_14401', 11008]
['DEINVI_03689', 11007]
['DEINVI_14402', 11007]
['DEINVI_14403', 11006]
['DEINVI_14404', 11005]
['DEINVI_14405', 11004]
['DEINVI_14406', 11003]
['DEINVI_06125', 11001]
['DEINVI_14407', 11001]
['DEINVI_14408', 11001]
['DEINVI_14409', 11001]
['DEINVI_00805', 11000]
['DEINVI_00851', 11000]
['DEINVI_00951', 11000]
['DEINVI_01000', 11000]
['DEINVI_01024', 11000]
['DEINVI_01053', 11000]
['DEINVI_01167', 11000]
['DEINVI_01385', 11000]
['DEINVI_01615', 11000]
['DEINVI_01714', 11000]
['DEINVI_01724', 11000]
['DEINVI_01745', 11000]
['DEINVI_01881', 11000]
['DEINVI_02236', 11000]
['DEINVI_02477', 11000]
['DEINVI_02534', 11000]
['DEINVI_02544', 11000]
['DEINVI_02560', 11000]
['DEINVI_02607', 11000]
['DEINVI_02627', 11000]
['DEINVI_02781', 11000]
['DEINVI_02887', 11000]
['DEINVI_02985', 11000]
['DEINVI_03053', 11000]
['DEINVI_03309', 11000]
['DEINVI_03350', 11000]
['DEINVI_03395', 11000]
['DEINVI_03796', 11000]
['DEINVI_04199', 11000]
['DEINVI_04510', 11000]
['DEINVI_04571', 11000]
['DEINVI_04623', 11000]
['DEINVI_04679', 11000]
['DEINVI_04723', 11000]
['DEINVI_05032', 11000]
['DEINVI_05039', 11000]
['DEINVI_05367', 11000]
['DEINVI_05424', 11000]
['DEINVI_06486', 11000]
['DEINVI_06555', 11000]
['DEINVI_06948', 11000]
['DEINVI_07011', 11000]
['DEINVI_07263', 11000]
['DEINVI_14410', 10999]
['DEINVI_14411', 10998]
['DEINVI_14412', 10998]
['DEINVI_14413', 10997]
['DEINVI_14414', 10997]
['DEINVI_04069', 10995]
['DEINVI_14415', 10995]
['DEINVI_14416', 10993]
['DEINVI_14417', 10992]
['DEINVI_14418', 10992]
['DEINVI_05289', 10991]
['DEINVI_14419', 10991]
['DEINVI_02108', 10990]
['DEINVI_05617', 10990]
['DEINVI_05029', 10988]
['DEINVI_14420', 10986]
['DEINVI_14421', 10985]
['DEINVI_14422', 10985]
['DEINVI_14423', 10983]
['DEINVI_14424', 10980]
['DEINVI_14425', 10979]
['DEINVI_14426', 10975]
['DEINVI_14427', 10973]
['DEINVI_14428', 10971]
['DEINVI_01363', 10968]
['DEINVI_14429', 10967]
['DEINVI_14430', 10966]
['DEINVI_14431', 10966]
['DEINVI_14432', 10966]
['DEINVI_07255', 10965]
['DEINVI_14433', 10965]
['DEINVI_05459', 10963]
['DEINVI_14434', 10963]
['DEINVI_14435', 10963]
['DEINVI_14436', 10961]
['DEINVI_14437', 10961]
['DEINVI_14438', 10960]
['DEINVI_14439', 10959]
['DEINVI_14440', 10957]
['DEINVI_14441', 10955]
['DEINVI_14442', 10953]
['DEINVI_14443', 10952]
['DEINVI_05404', 10944]
['DEINVI_02361', 10943]
['DEINVI_14444', 10943]
['DEINVI_08287', 10941]
['DEINVI_14445', 10940]
['DEINVI_02935', 10939]
['DEINVI_14446', 10938]
['DEINVI_14447', 10938]
['DEINVI_03037', 10937]
['DEINVI_08214', 10936]
['DEINVI_14448', 10936]
['DEINVI_14449', 10936]
['DEINVI_14450', 10936]
['DEINVI_09793', 10935]
['DEINVI_03936', 10934]
['DEINVI_14451', 10934]
['DEINVI_07572', 10933]
['DEINVI_14452', 10933]
['DEINVI_14453', 10932]
['DEINVI_14454', 10932]
['DEINVI_14455', 10931]
['DEINVI_14456', 10931]
['DEINVI_14457', 10930]
['DEINVI_14458', 10928]
['DEINVI_14459', 10927]
['DEINVI_14460', 10926]
['DEINVI_14461', 10926]
